trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
874,False,"{'a': 0.005, 'e': 0.012588142242433998}",30,24,15.312348948308475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.005, 'e': 0.012525358621074385}",35,25,20.381320909969205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.005, 'e': 0.012462888134332661}",20,12,14.319004414520332,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.005, 'e': 0.012400729220443406}",20,10,17.193327316482492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
878,False,"{'a': 0.005, 'e': 0.012338880325430523}",20,10,21.348736529797673,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
879,False,"{'a': 0.005, 'e': 0.012277339903068436}",25,13,17.520889726854392,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,False,"{'a': 0.005, 'e': 0.012216106414843372}",20,12,10.086105481489422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
881,False,"{'a': 0.005, 'e': 0.012155178329914935}",25,15,9.22808157912317,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.005, 'e': 0.012094554125077829}",20,11,15.706174711140159,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.005, 'e': 0.012034232284723775}",25,12,24.37688313827925,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.005, 'e': 0.011974211300803622}",20,10,18.804365339188603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,False,"{'a': 0.005, 'e': 0.011914489672789647}",25,20,8.50641795838061,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,False,"{'a': 0.005, 'e': 0.011855065907638027}",30,5,37.52609576731263,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
887,False,"{'a': 0.005, 'e': 0.011795938519751562}",20,12,11.066274413998935,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,False,"{'a': 0.005, 'e': 0.011737106030942461}",25,9,29.359727386647155,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
889,False,"{'a': 0.005, 'e': 0.011678566970395442}",25,12,21.861949233626923,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
890,False,"{'a': 0.005, 'e': 0.011620319874630945}",30,23,12.97883557948044,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
891,False,"{'a': 0.005, 'e': 0.011562363287468536}",25,5,36.622248989596805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
892,False,"{'a': 0.005, 'e': 0.011504695759990522}",20,8,22.806208830712393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
893,False,"{'a': 0.005, 'e': 0.01144731585050571}",20,3,28.796351518014397,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
894,False,"{'a': 0.005, 'e': 0.011390222124513367}",20,8,19.678255854578914,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
895,False,"{'a': 0.005, 'e': 0.011333413154667387}",20,14,12.534246497427732,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
896,False,"{'a': 0.005, 'e': 0.011276887520740558}",20,11,17.923718934542052,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
